IDs,Place Name,Latitude,Longitude
1,"Peterborough, Cambridgeshire, the UK",52.573921,-0.25083
2,"Jindrichuv Hradec, Czechia",49.144482,15.006139
3,"Elgin, Scotland, the UK",57.653484,-3.335724
4,"Stoke-on-Trent, Staffordshire, the UK",53.002666,-2.179404
5,"Solihull, Birmingham, UK",52.412811,-1.778197
6,"Cardiff, Cardiff county, UK",51.481583,-3.17909
7,"Eastbourne, East Sussex, UK",50.768036,0.290472
8,"Oxford, Oxfordshire, UK",51.752022,-1.257677
9,"London, UK",51.509865,-0.118092
10,"Swindon, Swindon, UK",51.568535,-1.772232
11,"Gravesend, Kent, UK",51.441883,0.370759
12,"Northampton, Northamptonshire, UK",52.240479,-0.902656
13,"Rugby, Warwickshire, UK",52.370876,-1.265032
14,"Sutton Coldfield, West Midlands, UK",52.570385,-1.824042
15,"Harlow, Essex, UK",51.772938,0.10231
16,"Aberdeen, Aberdeen City, UK",57.149651,-2.099075
17,"Swansea, Swansea, UK",51.621441,-3.943646
18,"Chesterfield, Derbyshire, UK",53.235046,-1.421629
19,"Londonderry, Derry, UK",55.006763,-7.318268
20,"Salisbury, Wiltshire, UK",51.068787,-1.794472
21,"Manchester, UK",53.483959,-2.244644
22,"Weymouth, Dorset, UK",50.614429,-2.457621
23,"Wolverhampton, West Midlands, UK",52.59137,-2.110748
24,"Preston, Lancashire, UK",53.765762,-2.692337
25,"Bournemouth, UK",50.720806,-1.904755
26,"Doncaster, South Yorkshire, UK",53.52282,-1.128462
27,"Ayr, South Ayrshire, UK",55.458565,-4.629179
28,"Hastings, East Sussex, UK",50.854259,0.573453
29,"Bedford, UK",52.136436,-0.460739
30,"Basildon, Essex, UK",51.572376,0.470009
31,"Chippenham, Wiltshire, UK",51.458057,-2.116074
32,"Belfast, UK",54.607868,-5.926437
33,"Uckfield, East Sussex, UK",50.967941,0.085831
34,"Worthing, West Sussex, UK",50.825024,-0.383835
35,"Leeds, West Yorkshire, UK",53.801277,-1.548567
36,"Kendal, Cumbria, UK",54.328506,-2.74387
37,"Hull, the United Kingdom",53.747372,-0.338653
38,"Plymouth, UK",50.376289,-4.143841
39,"Haverhill, Suffolk, UK",52.080875,0.444517
40,"Frankton, Warwickshire, UK",52.328415,-1.377561
41,"Inverness, the UK",57.477772,-4.224721
